zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
X,Kodambakkam,NK,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XI,Valasaravakkam,NL,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XII,Alandur,NM,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XIII,Adyar,NN,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,59,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XIV,Perungudi,NP,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XV,Sholinganallur,NQ,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
I,Thiruvottiyur,NA,2014-2015,ACTUAL,9652,96.52,yes,be2016-17.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
II,Manali,NB,2014-2015,ACTUAL,35751,357.51,yes,be2016-17.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
III,Madhavaram,NC,2014-2015,ACTUAL,8049,80.49,yes,be2016-17.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
IV,Tondiarpet,ND,2014-2015,ACTUAL,36031,360.31,yes,be2016-17.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
V,Royapuram,NE,2014-2015,ACTUAL,58836,588.36,yes,be2016-17.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VI,Thiru-Vi-Ka Nagar,NF,2014-2015,ACTUAL,24782,247.82,yes,be2016-17.pdf,82,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VII,Ambattur,NG,2014-2015,ACTUAL,6094,60.94,yes,be2016-17.pdf,84,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VIII,Anna Nagar,NH,2014-2015,ACTUAL,41287,412.87,yes,be2016-17.pdf,86,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
IX,Teynampet,NJ,2014-2015,ACTUAL,53117,531.17,yes,be2016-17.pdf,88,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
X,Kodambakkam,NK,2014-2015,ACTUAL,92728,927.28,yes,be2016-17.pdf,90,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XI,Valasaravakkam,NL,2014-2015,ACTUAL,39195,391.95,yes,be2016-17.pdf,92,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XII,Alandur,NM,2014-2015,ACTUAL,116765,1167.65,yes,be2016-17.pdf,94,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XIII,Adyar,NN,2014-2015,ACTUAL,16899,168.99,yes,be2016-17.pdf,96,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XIV,Perungudi,NP,2014-2015,ACTUAL,129914,1299.14,yes,be2016-17.pdf,98,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XV,Sholinganallur,NQ,2014-2015,ACTUAL,20501,205.01,yes,be2016-17.pdf,100,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
I,Thiruvottiyur,NA,2015-2016,RE,0,0.00,yes,be2016-17.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
II,Manali,NB,2015-2016,RE,0,0.00,yes,be2016-17.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
III,Madhavaram,NC,2015-2016,RE,0,0.00,yes,be2016-17.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
